"review","rating","sentiment","review_processed","document_no","Label","dominant_topic","topic_perc_contrib","keywords","Text"
Maaf kasih bintang 1 dulu karena saya sudah login akan tetapi kendala server terus itu kenapa ya?? Padahal saya pake tokopedia terus :(,1,0,maaf bintang login kendala server pake,207,,1,0.7975,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['maaf', 'bintang', 'login', 'kendala', 'server', 'pakai']"
"Ahhh bermasalah terus nih aplikasi, jadi sering komplen yg ga bisa buka toko, ga bisa buat transfer pake shoppe pay",3,1,ahhh aplikasi komplen toko transfer pake pay,727,,1,0.7966,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['ahhh', 'aplikasi', 'komplen', 'toko', 'transfer', 'pakai', 'bayar']"
"kecewa udah cpek"" bayar di alfamart eeeh tb"" pesanan di tolak sistem,kan dak jls",1,0,cpek bayar eeeh tb pesan tolak sistem dak jls,13,,1,0.7956,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['cpek', 'bayar', 'eeeh', 'tb', 'pesan', 'tolak', 'sistem', 'dak', 'jls']"
Akun aku hilang dan ga bisa login pdahal msih ada Shopee pay nya 400.000????,2,0,akun hilang login pdahal msih pay,89,,1,0.7956,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['akun', 'hilang', 'login', 'pdahal', 'msih', 'bayar']"
"Kimak lah, tiap mau download lagu spam iklan klen aja yang muncul",1,0,download lagu spam iklan klen muncul,139,,1,0.7956,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['unduh', 'lagu', 'spam', 'iklan', 'klen', 'muncul']"
"Tidak bisa login ke akun saya!!, Suka keluar sendiri dari akun!!! Apalagi kode OTP nya lama",1,0,login akun akun kode otp,220,,1,0.7956,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['login', 'akun', 'akun', 'kode', 'otp']"
Semoga bisa muncul shoope later nya biar kalo belanja lebih sering lagi bisa byar pas gajian ????,4,2,muncul later belanja byar pas gaji,850,,1,0.7956,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['muncul', 'later', 'belanja', 'bayar', 'pas', 'gaji']"
Saya membeli pelatihan prakerja di toped ini tinggal tulis ulasan untuk prakerja udah saya tulis .tpi di tampilan dan keteranganny blum ??? Kenpa tolong di perbarui dan di proses. klo begini malah jadi lama nanti harap ulasanku untuk prakerja di acc,3,1,beli latih tinggal tulis ulas tulis tpi tampil keteranganny kenpa tolong proses harap ulas acc,575,,1,0.7955,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['beli', 'latih', 'tinggal', 'tulis', 'ulas', 'tulis', 'tapi', 'tampil', 'keteranganny', 'kenpa', 'tolong', 'proses', 'harap', 'ulas', 'acc']"
"Saya baru bli barang trs tiba� keluar ehh pas mau cek di suruh daftar akun lgi, ini udh saya uninstall dan saya install lgi semoga bisa, klo ga bisa aku turunin bintang nya klo bisa aku tambahin sampe 5 bintang",2,0,barang trs ehh pas cek suruh daftar akun uninstall install turunin bintang tambahin sampe bintang,419,,1,0.7947,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['barang', 'terus', 'ehh', 'pas', 'cek', 'suruh', 'daftar', 'akun', 'uninstall', 'install', 'turun', 'bintang', 'tambahin', 'sampai', 'bintang']"
"Ini gimana saya sudah ganti metode pembayaran nya tapi gak bisa2 bisa nya pake kartu doang tapi saya gak punya, tolong ini gimana?",3,1,ganti metode bayar pake kartu tolong,797,,1,0.7934,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['ganti', 'metode', 'bayar', 'pakai', 'kartu', 'tolong']"
Dikit2 blokir... cashback digagalkan hadeh ribet tipu tipu nih namanya ntah pelanggaran apanya pdhl hp baru semua baru.,1,0,dikit blokir cashback gagal hadeh ribet tipu tipu nama ntah langgar pdhl hp,424,,1,0.793,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['dikit', 'blokir', 'cashback', 'gagal', 'hadeh', 'ribet', 'tipu', 'tipu', 'nama', 'ntah', 'langgar', 'pdhl', 'handphone']"
Saya sangat kecewa sekali dengan bukalapak ketika saya melakukan transaksi belanja pembayaran melalui briva BRI yang seharus dibayarkan sekaligus karena saya kira dengan toko yang berbeda transaksi saya lakukan 2 x otomatis uang yg saya transfer masuk buka dompet dan ternyata dana tersebut dibekukan dg alasan saya mengirimkan bukti transfer tidak valid padahal saya sudah ajukan komplain dari setahun yg saya pertanyakan kenapa uang Pelangan di tahan dan dipersulit yg jelas dirugikan ??,1,0,transaksi belanja bayar briva bri bayar toko beda transaksi otomatis uang transfer dompet dana beku alas kirim bukti transfer valid aju komplain uang pelang tahan sulit rugi,298,,1,0.7862,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['transaksi', 'belanja', 'bayar', 'briva', 'bri', 'bayar', 'toko', 'beda', 'transaksi', 'otomatis', 'uang', 'transfer', 'dompet', 'dana', 'beku', 'alas', 'kirim', 'bukti', 'transfer', 'valid', 'aju', 'komplain', 'uang', 'pelang', 'tahan', 'sulit', 'rugi']"
Ini kenapa ya kok akun saya hilang padahal gak saya apa apain itu saya lagi pesan barang Lo pas saya mau masuk lagi kok gak bisa pas buat akun lagi kok keapus juga tolong jelas kan,3,1,akun hilang apain pesan barang lo pas pas akun keapus tolong,538,,1,0.7836,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['akun', 'hilang', 'apain', 'pesan', 'barang', 'kamu', 'pas', 'pas', 'akun', 'keapus', 'tolong']"
Tidak adanya live chat via media membuat susah untuk berkomunikasi langsung kepada pihak shopee,5,2,live chat via media susah komunikasi,929,,1,0.783,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['live', 'chat', 'via', 'media', 'susah', 'komunikasi']"
"Ngomong Hadiah,,,tapi ujungnya tidak ada, buang buang waktu saja Gaees",3,1,ngomong hadiah ujung buang buang gaees,643,,1,0.7787,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['bicara', 'hadiah', 'ujung', 'buang', 'buang', 'gaees']"
Kak bagaimana cara membuka kembali akun shopepay yang di blokir?????? Soalnya masih ada saldo saya?????? Emang baru pertama kali mencoba melakukan metode pembayaran lewat shopepay. Gara-gara salah memasukkan pin Tolong solusinya secepatnya kak??????,3,1,akun shopepay blokir saldo metode bayar shopepay gara gara salah pin tolong solusi cepat,735,,1,0.7374,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['akun', 'shopepay', 'blokir', 'saldo', 'metode', 'bayar', 'shopepay', 'gara', 'gara', 'salah', 'pin', 'tolong', 'solusi', 'cepat']"
"Nyesel update, tetap saja tidak bisa menggantikan nomor hp yg sudah tidak terpkai/ingin menggunakan nomor baru, akun saya akun lama pernh bertransaksi juga, sudah tanya ke cs tetap tidak bisa, kalian yg bikin aplikasi/mengelola tapi hal untuk menggantikan nomor saja tidak bisa, mohon TIM ITnya di sekolahkan lagi.",1,0,update ganti nomor hp terpkai nomor akun akun pernh transaksi cs bikin aplikasi kelola ganti nomor tim itnya sekolah,193,,1,0.7782,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['update', 'ganti', 'nomor', 'handphone', 'terpkai', 'nomor', 'akun', 'akun', 'pernh', 'transaksi', 'customer service', 'bikin', 'aplikasi', 'kelola', 'ganti', 'nomor', 'tim', 'itnya', 'sekolah']"
Maaf kalo bisa oknum yg suka nipu mengatas namakan lazada di tindak merugikan konsumen,3,1,maaf oknum nipu nama tindak rugi konsumen,685,,1,0.7742,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['maaf', 'oknum', 'tipu', 'nama', 'tindak', 'rugi', 'konsumen']"
"Knpa setiap mau buka pembayaran selalu gagal, mau cek nomor brivanya loaading trusss",3,1,knpa bayar gagal cek nomor brivanya loaading trusss,761,,1,0.7693,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['kenapa', 'bayar', 'gagal', 'cek', 'nomor', 'brivanya', 'loaading', 'trusss']"
Bisa isi saldo gak bisa buat pesen barang gimana sih eror eror mulu,1,0,isi saldo sen barang eror eror mulu,32,,1,0.7692,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['isi', 'saldo', 'sen', 'barang', 'eror', 'eror', 'melulu']"
Yg kesisi ksih bintang 1 gara ordernya di cancel hayo ngaku wkwkwkw,1,0,sis ksih bintang gara order cancel hayo ngaku wkwkwkw,82,,1,0.769,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['sis', 'ksih', 'bintang', 'gara', 'order', 'cancel', 'hayo', 'mengaku', 'wkwkwkw']"
"Sangat buruk, pengembalian uang barang yang tercancel sudah 1bln saldo belum masuk kembali ke kartu kredit hadeh... Tau gitu pakai aplikasi sebelah??",1,0,uang barang tercancel bln saldo kartu kredit hadeh tau pakai aplikasi belah,345,,1,0.768,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['uang', 'barang', 'tercancel', 'bulan', 'saldo', 'kartu', 'kredit', 'hadeh', 'tahu', 'pakai', 'aplikasi', 'belah']"
payleter hilang bingung mau byr tagihan..dpt tlp lewat tf...jaman skrg bnyk bgt penipuan..tolong donk lazada kasih solusinya,1,0,payleter hilang bingung byr tagih tlp tf jaman skrg bnyk tipu tolong solusi,355,,1,0.7652,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['payleter', 'hilang', 'bingung', 'bayar', 'tagih', 'telepon', 'transfer', 'jaman', 'sekarang', 'banyak', 'tipu', 'tolong', 'solusi']"
Shope q udah 4 hari ini gk bisa dibuka katanya suruh hpus chace udah tetep ak gk bisa trys suruh uninstal juga udah tp tetep sama gk bisal blnja lihat notivikasi bisa tp yg lain gk bisa kebuka semuanya pdhl data lancar,1,0,suruh hpus chace tetep trys suruh uninstal tetep bisal blnja notivikasi pdhl data lancar,62,,1,0.7621,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['suruh', 'hapus', 'chace', 'tetep', 'trys', 'suruh', 'uninstal', 'tetep', 'bisal', 'blnja', 'notivikasi', 'pdhl', 'data', 'lancar']"
"saya turunin jadi 2bintang karena, cashback menjadi ovo point yg notabenenya tidak bisa untuk transaksi pembelian di tokped sendiri, saya sdh punya hampir 2jt ovo point dari cashback, tapi tidak bisa di pakai pembayaran di tokopedia, kan jadi aneh??????",2,0,turunin bintang cashback point notabene transaksi beli jt point cashback pakai bayar aneh,319,,1,0.7617,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['turun', 'bintang', 'cashback', 'point', 'notabene', 'transaksi', 'beli', 'jt', 'point', 'cashback', 'pakai', 'bayar', 'aneh']"
"ANEH BETT SHOPEE,UDH BAYAR SPAYLATER SEBELUM JATUH TEMPO,TAPI DITELPONIN TRS ANEH ANEHH",1,0,aneh bett bayar spaylater jatuh tempo ditelponin trs aneh anehh,346,,1,0.7535,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['aneh', 'bett', 'bayar', 'spaylater', 'jatuh', 'tempo', 'ditelponin', 'terus', 'aneh', 'anehh']"
KESEL LAGI NONTON TIBA TIBA KE PLAYSTORE BULAN PUASA UDAH BIKIN NGAMUK!!,1,0,kesel nonton playstore puasa bikin ngamuk,224,,1,0.745,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['kesel', 'nonton', 'playstore', 'puasa', 'bikin', 'ngamuk']"
Dana yg masuk ke jd balance sampai sekarang gak bisa di tarik. Saat memasukkan rekening selalu gak bisa. Parah,1,0,dana balance tarik rekening,382,,1,0.745,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['dana', 'balance', 'tarik', 'rekening']"
Habis di instal kok server eror terus.,3,1,habis instal server eror,471,,1,0.745,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['habis', 'install', 'server', 'eror']"
Kenapa shopee pinjam tidak berlaku untuk pengguna baru? Harusnya jika pengguna baru diberi hak yang sama dengan pengguna lama saya yakin banyak yang download dan gunain. Sekian. Makasih.,3,1,pinjam hak download gunain sekian,549,,1,0.745,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['pinjam', 'hak', 'unduh', 'gunain', 'sekian']"
Tolong konfirmasi pengajuan paylater saya,3,1,tolong konfirmasi aju paylater,695,,1,0.745,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['tolong', 'konfirmasi', 'aju', 'paylater']"
"Tokped knp kok saya mau daftar gk bisa ya plis dong gmn caranya saya sudah pake metode google,sms,whatsapp tapi kok tetap gk mau masuk ya",3,1,daftar plis gmn pake metode google sms whatsapp,771,,1,0.7404,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['daftar', 'plis', 'gmn', 'pakai', 'metode', 'google', 'sms', 'whatsapp']"
"Tolong buat admin bantu saya, akun saya di pakai orang untuak berjualan chip domino ! Akun asli saya RAMADHAN JUNAIDI . dan akun disana pakai nomor hape yang saya pakai sekarang . Tolong buat admin dibantu. Saya kirim email gak ada respon .",1,0,tolong admin bantu akun pakai untuak jual chip domino akun asli ramadhan junaidi akun pakai nomor hape pakai tolong admin bantu kirim email respon,214,,1,0.7403,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['tolong', 'admin', 'bantu', 'akun', 'pakai', 'untuak', 'jual', 'chip', 'domino', 'akun', 'asli', 'ramadhan', 'junaidi', 'akun', 'pakai', 'nomor', 'handphone', 'pakai', 'tolong', 'admin', 'bantu', 'kirim', 'email', 'respon']"
"Ini kenapa yah ko Shopee saya susah banget dibukanya padahal ga ada update terbaru, jaringan saya juga pake wifi",2,0,susah update jaring pake wifi,72,,1,0.7386,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['susah', 'update', 'jaring', 'pakai', 'wifi']"
"Saya lg kesel sama spaylater, nggak bisa muncul. Gimana mau bayar kalo error terus?",3,1,lg kesel spaylater muncul bayar error,664,,1,0.7368,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['lagi', 'kesel', 'spaylater', 'muncul', 'bayar', 'error']"
"Saya kecewa sama shopee, saya kemaren mau narik dana dr shopeepay saya ke rek. bank itu sampe hari ini blm masuk (estimasi 1-7 hr krj ditulis) Yg saya kecewakan knp hrs nunggu segitu lama buat mindahin duit doang, gak kaya gopay atau dana yg itunganny cm brp detik doang lngsung msuk...itu duit gw nyangkut dmn dlu gitu, kesel mo buru2 jd gk bisa, jaman udh serba instan ini msh ad aj yg lama ?? hadehhh",3,1,kemaren narik dana shopeepay rek bank sampe estimasi hr krj tulis hrs nunggu mindahin duit kaya dana itunganny brp detik lngsung msuk duit nyangkut dmn kesel mo buru jaman serba instan msh hadehhh,507,,1,0.7281,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['kemarin', 'narik', 'dana', 'ewallet', 'rek', 'bank', 'sampai', 'estimasi', 'hari', 'krj', 'tulis', 'harus', 'tunggu', 'mindahin', 'duit', 'kaya', 'dana', 'itunganny', 'berapa', 'detik', 'lngsung', 'msuk', 'duit', 'nyangkut', 'dmn', 'kesel', 'mau', 'buru', 'jaman', 'serba', 'instan', 'masih', 'hadehhh']"
"tolong lebih diringkas lagi aplikasinya, UI nya dibuat lebih simpel. Jangan banyak aneh"" didalam aplikasi. kalau bisa shopee food dipisah saja. masa iya hampir 500MB sendiri ????",3,1,tolong ringkas aplikasi ui simpel aneh aplikasi food pisah mb,786,,1,0.7229,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['tolong', 'ringkas', 'aplikasi', 'ui', 'simpel', 'aneh', 'aplikasi', 'food', 'pisah', 'mb']"
Dear Tokopedia saya sudah mengikuti proses prakerja 100% tetapi ketika saya. Mau memberi rating mempercepat penurunan insentif saya pas saya buka bagian top up tidak ada pelatihan saya beli bagaimana saya bisa memberi rating,3,1,dear proses rating cepat turun insentif pas up latih beli rating,731,,1,0.7216,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['dear', 'proses', 'rating', 'cepat', 'turun', 'insentif', 'pas', 'up', 'latih', 'beli', 'rating']"
"Aplikasi yang makin lama makin buruk dan menuai haters. Saya cuma pake 1 akun gak ada tuh saya pake akun lain. Transaksi pulsa saya 3x digagalkan. Dengan alasan saya melanggar aturan karena menggunakan kode yg sama. Lah!! Orang tokped sendiri yang bikin kode cuma itu2 ajah, gak ada variasi lain...ya pengguna pake kode itu. Masa salahku! Alhasil saldo mengendap...kalau gak niat ngadain promo gak usah lah.",1,0,aplikasi tuai haters pake akun pake akun transaksi pulsa gagal alas langgar atur kode bikin kode variasi pake kode salah alhasil saldo endap niat ngadain promo,435,,1,0.7213,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['aplikasi', 'tuai', 'haters', 'pakai', 'akun', 'pakai', 'akun', 'transaksi', 'pulsa', 'gagal', 'alas', 'langgar', 'atur', 'kode', 'bikin', 'kode', 'variasi', 'pakai', 'kode', 'salah', 'alhasil', 'saldo', 'endap', 'niat', 'ngadain', 'promo']"
Kok pas aku mau pengiriman selalu aja ada tulisan maaf coba beberapa saat lagii itu mksdnya apa sihh gondok kliii pdhl jaringan fulll semua nya bisa tiba pngrmn ga bisaa kenpa sihhh,3,1,pas kirim tulis maaf mksdnya sihh gondok kliii pdhl jaring fulll pngrmn bisaa kenpa sihhh,608,,1,0.7212,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['pas', 'kirim', 'tulis', 'maaf', 'mksdnya', 'sihh', 'gondok', 'kliii', 'pdhl', 'jaring', 'fulll', 'pngrmn', 'bisaa', 'kenpa', 'sihhh']"
Beli voucher prakerja di Tokopedia kenapa ribet ? Udah beli tapi masukin kode voucher selalu gagal terus .. ribet.. tau gitu gak beli lewat Tokopedia,3,1,beli voucher ribet beli masukin kode voucher gagal ribet tau beli,723,,1,0.7152,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['beli', 'voucher', 'ribet', 'beli', 'masukkan', 'kode', 'voucher', 'gagal', 'ribet', 'tahu', 'beli']"
"cara kreditnya gimana , saya udah lama mau kredit tapi kesulitan , mohon di bantu dan di jawab ?",3,1,kredit kredit sulit bantu,730,,1,0.7147,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['kredit', 'kredit', 'sulit', 'bantu']"
"Spaylaterku tak bisa di gunakan, pdhal smua sudah lunas & bayar tepat wktu ?? Menjengkel kan ??",1,0,spaylaterku pdhal lunas bayar wktu jengkel,47,,1,0.7132,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['spaylaterku', 'pdhal', 'lunas', 'bayar', 'wktu', 'jengkel']"
loading mulu. padahal udah pake wifi. :(,1,0,loading mulu pake wifi,73,,1,0.7065,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['loading', 'melulu', 'pakai', 'wifi']"
tolong dong kasih tau penjual harap catat no tlpn & WA saya sudah bayar di kirimnya agak lama kalo ada no tlpn & WA biar enak bisa kirim lebih cepat lagi... ini sudah 2 pesenan saya belom di kirim juga apalagi chat tidak di bales sama sekali pun kalo sudah bayar...,2,0,tolong tau jual harap catat no tlpn wa bayar kirim no tlpn wa kirim cepat sen bom kirim chat bales bayar,196,,1,0.7034,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['tolong', 'tahu', 'jual', 'harap', 'catat', 'no', 'telepon', 'whatsapp', 'bayar', 'kirim', 'no', 'telepon', 'whatsapp', 'kirim', 'cepat', 'sen', 'bom', 'kirim', 'chat', 'balas', 'bayar']"
"Tolong dong saya mau bayar pesanan ngk bisa�, kode pembayaran nya ngk muncul�, padahal internet lancar terus udah coba ganti pke wifi juga masih sama. Gmna mau bayar gt",3,1,tolong bayar pesan ngk kode bayar ngk muncul internet lancar ganti pke wifi bayar,755,,1,0.7017,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['tolong', 'bayar', 'pesan', 'ngk', 'kode', 'bayar', 'ngk', 'muncul', 'internet', 'lancar', 'ganti', 'pke', 'wifi', 'bayar']"
"GILIRAN PAYLATER DIBAYAR SALDO ILANG HADEH GOKIL ,GONDRONG DEKIL",1,0,gilir paylater bayar saldo ilang hadeh gokil gondrong dekil,258,,1,0.7015,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['gilir', 'paylater', 'bayar', 'saldo', 'hilang', 'hadeh', 'gila', 'gondrong', 'dekil']"
Aku ngak pencet apa apa tapi kok langung ke playsors sih kan jadinya sebelum apalagi pas main game iklan jadinya harus login lagi yang lama lagi kan jadinya udah ngak mut lagi main game,2,0,pencet langung playsors pas main game iklan login mut main game,276,,1,0.7004,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['pencet', 'langung', 'playsors', 'pas', 'main', 'game', 'iklan', 'login', 'mut', 'main', 'game']"
"Kecewa dengan respon komplen, lama & harus nunggu 1x24 jam untuk dproses, pelanggan pada kabur",1,0,respon komplen nunggu jam dproses langgan kabur,396,,1,0.7002,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['respon', 'komplen', 'tunggu', 'jam', 'dproses', 'langgan', 'kabur']"
"maaf saya kasih turun bintang 1 saja pembaruan sekarang makin parah masak nomor telpon yg awal tidak bisa masuk lagi kurangajar aplikasi shopee ini makin parah, pindah saja di lapak lain ahhhh..",1,0,maaf turun bintang masak nomor telpon kurangajar aplikasi pindah ahhhh,380,,1,0.6983,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['maaf', 'turun', 'bintang', 'masak', 'nomor', 'telpon', 'kurangajar', 'aplikasi', 'pindah', 'ahhhh']"
Pembayaran dg mobile banking susah,3,1,bayar mobile banking susah,180,,1,0.6612,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['bayar', 'mobile', 'banking', 'susah']"
"Saya top up e toll brizzi lewat TOPED tgl 27 juni 21 100k, tdk masuk saldonya, sdh komplin via email dan chatting.. yg hrs menyertakan bukti saldo deposit, info saldo, dst yg tentunya susah didapat.. krn biasanya update saldo via fitur nfc di hp. Hasil tetep gagal.. Saya ke cs BRI infonya hrs pihak toped yg konfirm ke BRI.. balik lagi ke toped.. dg komplin lagi.. minta syarat lagi.. hadeww.. ini sdh 2 bln tanpa kejelasan.. kenapa DIPERSULIT..!!!!!!???? sdg sdh jelas uang saya sdh kepotong.. !!!",2,0,up toll brizzi tgl juni saldo komplin via email chatting hrs bukti saldo deposit info saldo susah update saldo via fitur nfc hp hasil tetep gagal cs bri info hrs konfirm bri komplin syarat hadeww bln sulit sdg uang potong,172,,1,0.6941,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['up', 'toll', 'brizzi', 'tanggal', 'juni', 'saldo', 'komplain', 'via', 'email', 'chatting', 'harus', 'bukti', 'saldo', 'deposit', 'informasi', 'saldo', 'susah', 'update', 'saldo', 'via', 'fitur', 'nfc', 'handphone', 'hasil', 'tetep', 'gagal', 'customer service', 'bri', 'informasi', 'harus', 'konfirm', 'bri', 'komplain', 'syarat', 'hadeww', 'bulan', 'sulit', 'sdg', 'uang', 'potong']"
"Sudah di log out Dan di hapus app nya kok masih kirim� sms dan email seh, apa kudu harus di block neh ???",1,0,log out hapus app kirim sms email seh kudu block neh,365,,1,0.6925,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['log', 'out', 'hapus', 'aplikasi', 'kirim', 'sms', 'email', 'seh', 'harus', 'block', 'neh']"
Awalnya aku suka.. tapi karena sistem keamanan shopee yg kurang akun saya disalah gunakan oleh oknum yg tidak bertanggung jawab karena itu saya mengalami kerugian yg sangat besar sampai 7juta dan shopee tidak mau membantu apapun.. saya sangat kecewa..,1,0,sistem aman akun salah oknum tanggung alami rugi juta bantu,449,,1,0.6905,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['sistem', 'aman', 'akun', 'salah', 'oknum', 'tanggung', 'alami', 'rugi', 'juta', 'bantu']"
Dulu saya suka app client BL karena enteng dari app punya marketplace sebelah. Sekarang makin berat dan banyak pop up� yang bikin kita sering salah pencet jadi makin buang� waktu saja.,1,0,app client bl enteng app marketplace belah berat pop up bikin salah pencet buang,313,,1,0.69,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['aplikasi', 'client', 'beli', 'enteng', 'aplikasi', 'marketplace', 'belah', 'berat', 'pop', 'up', 'bikin', 'salah', 'pencet', 'buang']"
"Agak kecewa, 1 transaksi tidak di refund, padahal laporan dari bank pengirim dana telah masuk ke rekening tokopedia. Skrg lagi transaksi juga sdh bayar tapi blm terverifikasi. Tolong updet itu ut memperbaiki sistem yg bug bukan malah ut memunculkan iklan dan promo. Utamakan juga kenyamanan dan keamanan transaksi user",3,1,transaksi refund lapor bank kirim dana rekening skrg transaksi bayar verifikasi tolong updet ut sistem bug ut muncul iklan promo utama nyaman aman transaksi user,687,,1,0.6873,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['transaksi', 'refund', 'lapor', 'bank', 'kirim', 'dana', 'rekening', 'sekarang', 'transaksi', 'bayar', 'verifikasi', 'tolong', 'updet', 'ut', 'sistem', 'bug', 'ut', 'muncul', 'iklan', 'promo', 'utama', 'nyaman', 'aman', 'transaksi', 'user']"
Mohon maaf untuk pemilik dan semua pengelola aplikasi lazada saya sering kesal dengan aplikasi ini. Mohon maaf semua kesalahan??,1,0,maaf milik kelola aplikasi kesal aplikasi maaf salah,159,,1,0.686,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['maaf', 'milik', 'kelola', 'aplikasi', 'kesal', 'aplikasi', 'maaf', 'salah']"
"Saya mau beli HP dan coba fitur tukar tambah tapi selalu gagal dari aplikasinya, menghambat keinginan saya",3,1,beli hp fitur tukar gagal aplikasi hambat,434,,1,0.684,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['beli', 'handphone', 'fitur', 'tukar', 'gagal', 'aplikasi', 'hambat']"
"Td ny mau download apk ini,,tpi di komen nya banyak yg kecewa..",1,0,ny download apk tpi komen,146,,1,0.6818,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['ny', 'unduh', 'aplikasi', 'tapi', 'komen']"
"Kapan bisa pakai gopay bayar di tokopedia, klau sudah nanti 5 bintang",3,1,pakai bayar klau bintang,562,,1,0.6767,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['pakai', 'bayar', 'klau', 'bintang']"
Sangat membantu untuk proses pembayaran prakerja di skillacademy lancar tanpa hambatan sedikitpun,5,2,bantu proses bayar skillacademy lancar hambat,961,,1,0.6766,"bayar, aplikasi, pakai, akun, iklan, bintang, tolong, unduh, saldo, handphone","['bantu', 'proses', 'bayar', 'skillacademy', 'lancar', 'hambat']"
